date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,forecastHUFL,forecastHULL,forecastMUFL,forecastMULL,forecastLUFL,forecastLULL,forecastOT,MSE,MAE
2016/7/1 0:00,5.827000141,2.009000063,1.598999977,0.462000012,4.203000069,1.340000033,30.53100014,10.987969,3.3599977,7.327916,1.6134348,3.5276432,1.2127523,9.0492,74.93530158,5.096674578
2016/7/1 1:00,5.69299984,2.075999975,1.491999984,0.425999999,4.142000198,1.371000051,27.78700066,11.204966,3.4173474,7.5567417,1.6486671,3.5319152,1.2315495,9.087353,60.0750662,4.798557944
2016/7/1 2:00,5.157000065,1.741000056,1.279000044,0.354999989,3.77699995,1.218000054,27.78700066,12.613407,4.1790047,8.930794,2.1841073,3.7144377,1.2522871,9.256235,66.69026011,5.428989685
2016/7/1 3:00,5.090000153,1.942000031,1.279000044,0.391000003,3.806999922,1.279000044,25.04400063,14.191359,5.223871,10.005929,2.9527032,4.032771,1.3406827,8.983485,62.04599453,5.717118761
2016/7/1 4:00,5.357999802,1.942000031,1.491999984,0.462000012,3.868000031,1.279000044,21.94799995,15.047118,5.720752,10.566672,3.343125,4.2615204,1.3985014,9.202931,51.63063611,5.525965407
2016/7/1 5:00,5.625999928,2.142999887,1.527999997,0.532999992,4.051000118,1.371000051,21.17399979,15.145338,5.7130966,10.444896,3.3165574,4.276704,1.3765454,9.397947,47.04985804,5.256741459
2016/7/1 6:00,7.166999817,2.947000027,2.131999969,0.782000005,5.026000023,1.85800004,22.79199982,15.014821,5.699551,10.413006,3.3157384,4.3040094,1.3944261,9.303832,46.68950966,5.155549852
2016/7/1 7:00,7.434999943,3.282000065,2.309999943,1.031000018,5.086999893,2.223999977,23.1439991,14.971333,5.602504,10.183746,3.253118,4.3149285,1.3982308,9.189936,46.44408653,5.072086386
2016/7/1 8:00,5.559000015,3.013999939,2.451999903,1.172999978,2.954999924,1.432000041,21.66699982,14.759483,5.4758396,10.250637,3.1344316,4.2963543,1.4076145,9.200485,44.65561631,5.036378014
2016/7/1 9:00,4.554999828,2.545000076,1.91900003,0.816999972,2.680000067,1.371000051,17.44599915,14.732027,5.295327,9.878531,2.91711,4.5890656,1.462665,8.977329,36.32458334,4.779485103
2016/7/1 10:00,4.956999779,2.545000076,1.99000001,0.852999985,2.954999924,1.491999984,19.97900009,14.969923,5.2765665,9.828161,2.8335562,4.8542852,1.529273,8.832067,42.99174977,5.092385462
2016/7/1 11:00,5.760000229,2.545000076,2.203000069,0.852999985,3.441999912,1.491999984,20.11899948,14.346703,5.1685495,9.066804,2.7176418,4.988227,1.6088865,8.854985,37.21223892,4.695118004
2016/7/1 12:00,4.68900013,2.545000076,1.812000036,0.852999985,2.832999945,1.523000002,19.20499992,11.542073,4.9336452,6.718338,2.619319,4.570859,1.6460519,8.984795,26.76430756,3.999355836
2016/7/1 13:00,4.68900013,2.678999901,1.77699995,1.243999958,3.107000113,1.613999963,18.5720005,4.4642982,4.272785,0.98932743,2.3501391,3.638937,1.5587156,7.9477043,16.79947096,2.131973735
2016/7/1 14:00,5.090000153,2.947000027,2.451999903,1.350000024,2.559000015,1.432000041,19.55599976,-0.26370382,4.2938213,-3.615117,2.3115416,3.3650773,1.5605551,7.991305,28.94557075,3.746930118
2016/7/1 15:00,5.090000153,3.148000002,2.486999989,1.350000024,2.588999987,1.523000002,17.30500031,-3.222314,4.2213125,-6.3146224,2.2511382,3.0756328,1.491365,8.194128,33.11042563,4.102503905
2016/7/1 16:00,4.21999979,2.411000013,1.70599997,0.782000005,2.618999958,1.491999984,19.48600006,-4.149699,4.0294433,-7.2837987,2.0230513,3.014733,1.4516895,8.790237,38.51221171,4.478685518
